region,value
Canada,620
Canada,1400
Canada,0.148324266
Canada,2
Canada,722
Canada,7
Canada,1172
Canada,0.221951112
Canada,1480
Canada,1640
Canada,0.02783134
Canada,2480
Canada,3180
Canada,5420
Canada,5305
Canada,0.052442573
Canada,2825
Canada,2240
Canada,0.34050101
Canada,55
Canada,2266
Canada,63
Canada,3361
Canada,0.447141081
Canada,0.002128273
Canada,0.000170742
Canada,2580
Canada,4380
Canada,5
Canada,5
Canada,0.085611053
Canada,9685
Canada,1
Canada,8000
Canada,14360
Canada,5
Canada,14905
Canada,0.136124909
Canada,5
Canada,5220
Canada,6360
Canada,0.000161525
Canada,0.728234112
Canada,0.08101888
Canada,135
Canada,3900
Canada,673
Canada,5168
Canada,0.172582969
Canada,0.997792065
Canada,0.00015364
Canada,7970.149414
Canada,8714.551758
Canada,5
Canada,0.209091634
Canada,23619.55273
Canada,11
Canada,22330.14844
Canada,43820.14844
Canada,19
Canada,19
Canada,46279.55078
Canada,0.404587805
Canada,5
Canada,22660
Canada,21490
Canada,0.00014637
Canada,0.020293999
Canada,2.673327923
Canada,0.267600805
Canada,840
Canada,7100
Canada,975
Canada,7976.140137
Canada,18561
Canada,0.788512588
Canada,3.215052366
Canada,0.073469251
Canada,0.000139629
Canada,32402
Canada,5
Canada,0.626946449
Canada,78681.55469
Canada,68
Canada,49
Canada,62381.14844
Canada,81588
Canada,63
Canada,268
Canada,1575
Canada,7
Canada,7
Canada,127487
Canada,0.831796408
Canada,1437
Canada,1432
Canada,1575
Canada,36912
Canada,0.081138797
Canada,0.285556525
Canada,1.446911335
Canada,0.007707386
Canada,0.000642044
Canada,4.157488823
Canada,1.011523008
Canada,2258
Canada,10936
Canada,14464
Canada,28300
Canada,3055
Canada,12314
Canada,4.046092033
Canada,6.59886694
Canada,0.000642044
Canada,1.49640286
Canada,0.459234565
Canada,0.221219063
Canada,59400
Canada,4175
Canada,2600
Canada,4037
Canada,1.185421705
Canada,187765
Canada,7
Canada,2600
Canada,431
Canada,252
Canada,110195
Chile,6
Chile,6
Chile,0.000281978
Chile,0.002460449
Chile,1
Chile,1
